userid,payment_amount,payment_date
fbe7b364-b056-4a93-ab4a-1470077e9a4e,3,2017-10-18 05:29:28
b90a6273-37a4-4082-b0e7-916a7502f225,28,2017-10-20 02:55:53
6c31f465-8df8-4630-8988-1dac1a950bed,72,2017-10-21 03:22:05
23631745-9811-4e90-8cae-f429c831ee7d,95,2017-10-21 15:36:27
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,95,2017-10-22 01:51:15
7696fa6d-9f61-44e5-b38b-726461631683,80,2017-10-22 06:56:24
666e4f2f-ac77-416f-8932-b219ab61eeea,2,2017-10-22 19:05:54
4362791f-dea2-41d8-ac56-c80f811a8487,96,2017-10-24 00:14:40
63a02edc-682c-488a-a7ed-98c659b7e6d2,80,2017-10-24 08:23:52
42e952ee-8bb9-49ac-ba46-d7d9d4d92777,46,2017-10-24 13:34:53
ad49f441-1695-4a70-bb60-8c7cce0b4008,38,2017-10-24 15:06:50
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,20,2017-10-25 07:14:57
b21456e9-eb12-485e-bef1-bcae563e11b4,91,2017-10-26 03:08:14
fd2b16cf-a3fc-452d-89ac-ac3587864378,49,2017-10-26 20:58:38
96713f89-fc21-4107-a8c3-bb42d0f5ffd4,94,2017-10-26 21:39:33
a70ee142-a24f-4aaa-9256-e0e25f3c207b,8,2017-10-27 10:48:39
63a02edc-682c-488a-a7ed-98c659b7e6d2,87,2017-10-28 07:43:47
a7221354-1cf2-474b-b0ec-c5d62aff2429,1,2017-10-28 12:07:08
9effa928-16c5-4438-ac9f-7ad852f5efa0,92,2017-10-28 17:42:08
9a21fc18-adc4-4822-a104-3b791c7054cd,92,2017-10-29 20:35:31
482520fb-8e69-48f4-8961-3b79e0bd9a44,34,2017-10-29 21:08:50
ad49f441-1695-4a70-bb60-8c7cce0b4008,49,2017-10-30 03:54:33
c2f9a906-0756-4e6e-b21c-7fe80931e42d,69,2017-10-30 16:51:15
f7dab0ef-4c57-4221-b602-dcb71087dee8,74,2017-10-31 10:28:18
87f66716-d900-49b4-bde4-92bb55b44536,67,2017-11-01 19:33:02
e44e5d7b-e127-49c6-bbc1-348d0dbd9088,48,2017-11-01 21:47:10
c228799f-a20c-41c0-99f7-cbece2d77d88,58,2017-11-03 06:31:39
92690d8f-94db-4af8-9959-64367e388883,87,2017-11-03 07:29:00
b76b02ce-f21f-4d42-8ebc-4223dc0980da,23,2017-11-05 08:15:21
db3be399-62e2-411d-9724-38550a02d53d,7,2017-11-05 23:38:45
e44e5d7b-e127-49c6-bbc1-348d0dbd9088,66,2017-11-09 20:19:07
bc1664e4-83d2-4a93-8bc7-5a353df97d14,68,2017-11-09 21:55:28
a7568139-0dbb-4627-84d0-9991061374ed,76,2017-11-11 08:41:57
fec31cda-d151-46bd-a5ee-d81cf9ae710d,95,2017-11-11 09:44:53
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,57,2017-11-12 04:04:24
1b203264-ef37-4988-a0d6-e854c9060064,22,2017-11-12 05:29:35
551e9c45-3490-49dc-8524-c97c5f2cce4f,58,2017-11-13 05:20:18
5f775fa4-0d79-4300-8553-e3c17d7d0a0f,30,2017-11-13 19:26:22
16b8b179-48bd-4605-8d86-4ad619270f56,31,2017-11-14 01:18:46
7ba498a7-192f-45b1-9583-6249a8beb5ea,67,2017-11-14 03:08:42
e7f570bf-a190-47fe-9466-7711669513d1,21,2017-11-14 11:16:35
38bd2cb0-0a9f-47a6-8a0f-c36e8f80ee9c,14,2017-11-15 18:48:50
23631745-9811-4e90-8cae-f429c831ee7d,32,2017-11-15 19:19:28
9f76499a-2e82-41c6-bbef-8f7c09c9d287,99,2017-11-16 18:42:14
7ba498a7-192f-45b1-9583-6249a8beb5ea,91,2017-11-17 07:22:23
b90a6273-37a4-4082-b0e7-916a7502f225,28,2017-11-17 22:04:12
a70ee142-a24f-4aaa-9256-e0e25f3c207b,95,2017-11-18 16:08:35
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,55,2017-11-18 16:26:59
9f76499a-2e82-41c6-bbef-8f7c09c9d287,85,2017-11-21 08:26:21
4c2047c8-c231-4699-95a4-dae918e96087,72,2017-11-21 09:32:30
f212d0b5-0f4a-4743-b670-a64bab7ef6c4,100,2017-11-21 13:15:54
7d0a7207-fb42-41b6-b2b8-c49b3b6f6618,13,2017-11-21 23:58:00
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,25,2017-11-22 06:59:37
4362791f-dea2-41d8-ac56-c80f811a8487,24,2017-11-22 12:44:06
7f920fab-f166-4f50-9667-9bfce267c735,62,2017-11-23 06:32:16
fdd1ed13-4e10-4bae-8344-63501c51222f,70,2017-11-24 04:28:23
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,97,2017-11-25 22:19:37
e5a558eb-43dd-4aa8-90d4-281d1e9a3c97,31,2017-11-26 00:32:59
92690d8f-94db-4af8-9959-64367e388883,43,2017-11-26 07:25:43
fbe7b364-b056-4a93-ab4a-1470077e9a4e,83,2017-11-27 00:54:38
cfe1b2b8-cf3a-4e7b-b211-6dccc4ba08ee,28,2017-11-27 01:39:23
38bd2cb0-0a9f-47a6-8a0f-c36e8f80ee9c,31,2017-11-27 07:34:58
1b203264-ef37-4988-a0d6-e854c9060064,25,2017-11-27 18:08:28
4362791f-dea2-41d8-ac56-c80f811a8487,98,2017-11-28 08:15:14
a90ca77c-e839-460d-8047-b5bf1e70f471,68,2017-11-29 02:59:08
0ebca960-337a-4ebd-be49-b7b427825840,54,2017-11-29 08:56:35
3b82d826-fa26-42bb-83c2-01b1a16c4e51,9,2017-11-29 13:06:07
a2d4f53c-f353-4bc0-9640-e3d8203af78e,64,2017-12-02 08:51:28
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,11,2017-12-02 18:29:39
fe2c931c-4973-4c30-aec6-300aab577f02,47,2017-12-02 23:35:07
523cde68-3d52-44ae-8e8d-cfd83ad877ca,88,2017-12-03 03:08:23
db3be399-62e2-411d-9724-38550a02d53d,56,2017-12-03 22:11:43
b90a6273-37a4-4082-b0e7-916a7502f225,64,2017-12-04 01:12:37
c11a9aee-95eb-4863-8146-c4c3956d8a02,72,2017-12-04 23:41:06
16b8b179-48bd-4605-8d86-4ad619270f56,37,2017-12-06 16:54:48
16b8b179-48bd-4605-8d86-4ad619270f56,20,2017-12-06 18:13:27
9976c7d6-4d58-4558-8d78-0c9328b73ae1,72,2017-12-07 17:22:37
4c2047c8-c231-4699-95a4-dae918e96087,93,2017-12-07 18:50:02
c11a9aee-95eb-4863-8146-c4c3956d8a02,46,2017-12-09 06:08:48
551e9c45-3490-49dc-8524-c97c5f2cce4f,66,2017-12-09 18:47:05
3b82d826-fa26-42bb-83c2-01b1a16c4e51,78,2017-12-11 13:12:06
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,98,2017-12-13 03:39:57
a90ca77c-e839-460d-8047-b5bf1e70f471,55,2017-12-14 01:34:36
385fc5c2-299a-4f44-b79b-df22fc623278,28,2017-12-14 08:15:03
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,21,2017-12-14 18:01:16
fec31cda-d151-46bd-a5ee-d81cf9ae710d,40,2017-12-14 19:07:36
7dfbd71b-a880-41b5-8549-8deb07374988,96,2017-12-15 00:56:55
92690d8f-94db-4af8-9959-64367e388883,85,2017-12-15 06:33:54
dc1d4e1e-1e18-4dd2-a5c2-56f2c91f7820,15,2017-12-16 02:08:06
806057da-27ca-4726-85f4-528b828c6f8a,75,2017-12-16 11:01:59
9effa928-16c5-4438-ac9f-7ad852f5efa0,74,2017-12-16 22:55:01
0d924c07-26cd-4a08-880f-5c0f973db4a0,93,2017-12-17 12:42:39
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,18,2017-12-18 17:00:09
c2f9a906-0756-4e6e-b21c-7fe80931e42d,91,2017-12-18 19:29:59
b76b02ce-f21f-4d42-8ebc-4223dc0980da,87,2017-12-22 05:53:04
184e96cf-84ce-40df-93c7-b3a89572e175,74,2017-12-22 15:23:50
6c31f465-8df8-4630-8988-1dac1a950bed,66,2017-12-22 16:36:52
7ba498a7-192f-45b1-9583-6249a8beb5ea,41,2017-12-23 01:39:58
523cde68-3d52-44ae-8e8d-cfd83ad877ca,94,2017-12-23 06:22:26
b90a6273-37a4-4082-b0e7-916a7502f225,2,2017-12-23 16:10:17
05fad709-1d71-472d-95b8-71a60c6c1b25,39,2017-12-24 13:54:06
ba28c03c-966a-4334-8cae-c426e9d83209,83,2017-12-26 09:06:18
7696fa6d-9f61-44e5-b38b-726461631683,7,2017-12-26 23:08:19
5b81f2c0-1925-4e6d-924d-f5323aafb9de,95,2017-12-28 05:43:17
dc1d4e1e-1e18-4dd2-a5c2-56f2c91f7820,55,2017-12-28 08:44:31
0d924c07-26cd-4a08-880f-5c0f973db4a0,88,2017-12-28 18:04:28
b774db42-b90a-41f9-baed-a0873e63af98,85,2017-12-29 03:22:37
16b8b179-48bd-4605-8d86-4ad619270f56,50,2017-12-29 07:33:52
53d3af82-a9cc-4b30-89b4-2755f9beaaed,9,2017-12-29 08:27:43
184e96cf-84ce-40df-93c7-b3a89572e175,23,2017-12-29 15:34:24
42e952ee-8bb9-49ac-ba46-d7d9d4d92777,37,2017-12-31 19:37:05
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,38,2018-01-01 22:54:40
fe2c931c-4973-4c30-aec6-300aab577f02,6,2018-01-02 03:59:26
1b203264-ef37-4988-a0d6-e854c9060064,58,2018-01-02 14:30:42
5b81f2c0-1925-4e6d-924d-f5323aafb9de,41,2018-01-03 13:31:34
